start,geography_type,geography_code,count_of_tickets
2025-01-11 18:30:00,postcode_area,BD11,2
2025-01-11 18:30:00,postcode_area,BD12,127
2025-01-11 18:30:00,postcode_area,BD13,386
2025-01-11 18:30:00,postcode_area,BD14,127
2025-01-11 18:30:00,postcode_area,BD15,230
2025-01-11 18:30:00,postcode_area,BD16,531
2025-01-11 18:30:00,postcode_area,BD17,536
2025-01-11 18:30:00,postcode_area,BD18,1070
2025-01-11 18:30:00,postcode_area,BD2,349
2025-01-11 18:30:00,postcode_area,BD20,239
2025-01-11 18:30:00,postcode_area,BD21,78
2025-01-11 18:30:00,postcode_area,BD22,220
2025-01-11 18:30:00,postcode_area,BD3,146
2025-01-11 18:30:00,postcode_area,BD4,248
2025-01-11 18:30:00,postcode_area,BD5,131
2025-01-11 18:30:00,postcode_area,BD6,384
2025-01-11 18:30:00,postcode_area,BD7,231
2025-01-11 18:30:00,postcode_area,BD8,173
2025-01-11 18:30:00,postcode_area,BD9,372
2025-01-11 18:30:00,postcode_area,LS29,398
2025-01-11 18:30:00,postcode_area,OTHER,5377
