aggregation,project_name,variable,value
BY_PROJECT,SBC Theatre,participants,105
BY_PROJECT,STATUESQUE by Naomi Parker and Chicks on Sticks,participant_instances,0
BY_PROJECT,STATUESQUE by Naomi Parker and Chicks on Sticks,participants,0
BY_PROJECT,STRIKE,participant_instances,1843
BY_PROJECT,STRIKE,participants,896
BY_PROJECT,Say It As It Is (Bowling),participant_instances,12
BY_PROJECT,Say It As It Is (Bowling),participants,12
BY_PROJECT,Say It As It Is (Cliffe Castle),participant_instances,10
BY_PROJECT,Say It As It Is (Cliffe Castle),participants,10
BY_PROJECT,Say It As It Is (Wibsey),participant_instances,15
BY_PROJECT,Say It As It Is (Wibsey),participants,15
BY_PROJECT,Seat-y of Culture,participant_instances,0
BY_PROJECT,Seat-y of Culture,participants,0
BY_PROJECT,Share Your Story at Beacon (National Literacy Trust),participant_instances,2630
BY_PROJECT,Share Your Story at Beacon (National Literacy Trust),participants,2630
BY_PROJECT,"Share and Care (Bradford New Church, Frizinghall)",participant_instances,95
BY_PROJECT,"Share and Care (Bradford New Church, Frizinghall)",participants,95
BY_PROJECT,Simon Boccanegra,participant_instances,0
BY_PROJECT,Simon Boccanegra,participants,0
BY_PROJECT,"Sing, Dance, Leap",participant_instances,10074
BY_PROJECT,"Sing, Dance, Leap",participants,3189
BY_PROJECT,Sip and Paint with Creative Flare,participant_instances,44
BY_PROJECT,Sip and Paint with Creative Flare,participants,44
BY_PROJECT,Sisters 360,participant_instances,0
BY_PROJECT,Sisters 360,participants,0
BY_PROJECT,Smoke-Blackened Walls and Curlews - Matthew Bourne,participant_instances,0
BY_PROJECT,Smoke-Blackened Walls and Curlews - Matthew Bourne,participants,0
BY_PROJECT,Smoosh at BD Fest,participant_instances,72
BY_PROJECT,Smoosh at BD Fest,participants,9
BY_PROJECT,"So Far, So Good (Yorkshire Dance, as part of BD FEST)",participant_instances,500
BY_PROJECT,"So Far, So Good (Yorkshire Dance, as part of BD FEST)",participants,34
BY_PROJECT,Sonic Swirls and Silence (BD: is LIT),participant_instances,0
BY_PROJECT,Sonic Swirls and Silence (BD: is LIT),participants,0
BY_PROJECT,Soundwave - Finale Showcase,participant_instances,0
BY_PROJECT,Soundwave - Finale Showcase,participants,0
BY_PROJECT,Spin Arts: RIDE,participant_instances,366
BY_PROJECT,Spin Arts: RIDE,participants,366
BY_PROJECT,Steven Frayne: Back Home and Magical,participant_instances,0
BY_PROJECT,Steven Frayne: Back Home and Magical,participants,0
BY_PROJECT,Street Choirs Festival,participant_instances,0
BY_PROJECT,Street Choirs Festival,participants,0
BY_PROJECT,Sudha Bhuchar residency Theatre in the Mill,participant_instances,0
BY_PROJECT,Sudha Bhuchar residency Theatre in the Mill,participants,0
BY_PROJECT,Summer Sounds - Day 1,participant_instances,0
BY_PROJECT,Summer Sounds - Day 1,participants,0
BY_PROJECT,Summer Sounds - Day 2,participant_instances,0
BY_PROJECT,Summer Sounds - Day 2,participants,0
BY_PROJECT,Summer of Song with Steeton Male Voice Choir,participant_instances,0
BY_PROJECT,Summer of Song with Steeton Male Voice Choir,participants,0
BY_PROJECT,Sustenance the Power of Food,participant_instances,0
BY_PROJECT,Sustenance the Power of Food,participants,0
BY_PROJECT,TCF Artist Residency,participant_instances,23
BY_PROJECT,TCF Artist Residency,participants,21
BY_PROJECT,Tape Letters,participant_instances,0
BY_PROJECT,Tape Letters,participants,0
BY_PROJECT,Tech Styles,participant_instances,0
BY_PROJECT,Tech Styles,participants,0
BY_PROJECT,Tech Styles @ The Beacon,participant_instances,39
BY_PROJECT,Tech Styles @ The Beacon,participants,39
BY_PROJECT,Teen Scene Party,participant_instances,0
BY_PROJECT,Teen Scene Party,participants,0
BY_PROJECT,Tent of Hope,participant_instances,0
BY_PROJECT,Tent of Hope,participants,0
BY_PROJECT,Testo,participant_instances,0
BY_PROJECT,Testo,participants,0
BY_PROJECT,The 56,participant_instances,0
BY_PROJECT,The 56,participants,0
BY_PROJECT,The Belgrave House Band - Back to Black,participant_instances,0
BY_PROJECT,The Belgrave House Band - Back to Black,participants,0
BY_PROJECT,The Big Creative Summit - Investment in West Yorkshire,participant_instances,0
BY_PROJECT,The Big Creative Summit - Investment in West Yorkshire,participants,0
BY_PROJECT,The Bradford Progress,participant_instances,3893
BY_PROJECT,The Bradford Progress,participants,427
BY_PROJECT,The Ceremony,participant_instances,0
BY_PROJECT,The Ceremony,participants,0
BY_PROJECT,The Dreams I Had: Andrea Dunbar,participant_instances,0
BY_PROJECT,The Dreams I Had: Andrea Dunbar,participants,0
BY_PROJECT,The Invite by Mind the Gap,participant_instances,15
BY_PROJECT,The Invite by Mind the Gap,participants,15
BY_PROJECT,The Pahari-Pothwari Literature Project by Nabeela Ahmed,participant_instances,0
BY_PROJECT,The Pahari-Pothwari Literature Project by Nabeela Ahmed,participants,0
BY_PROJECT,The People Powered Press,participant_instances,0
BY_PROJECT,The People Powered Press,participants,0
BY_PROJECT,The Railway Children,participant_instances,2236
BY_PROJECT,The Railway Children,participants,121
BY_PROJECT,The Sticky Dance,participant_instances,0
BY_PROJECT,The Sticky Dance,participants,0
BY_PROJECT,The Tiger Lillies,participant_instances,0
BY_PROJECT,The Tiger Lillies,participants,0
BY_PROJECT,Tour the Writer,participant_instances,0
BY_PROJECT,Tour the Writer,participants,0
BY_PROJECT,Tower of Now (capital project),participant_instances,0
BY_PROJECT,Tower of Now (capital project),participants,0
BY_PROJECT,Tower of Now: Saad Qureshi (programme strand),participant_instances,48
BY_PROJECT,Tower of Now: Saad Qureshi (programme strand),participants,12
BY_PROJECT,Toxic,participant_instances,0
BY_PROJECT,Toxic,participants,0
BY_PROJECT,Tu i Tam / Tyt i Tam: Tim Smith & Lodz Fotofestival,participant_instances,252
BY_PROJECT,Tu i Tam / Tyt i Tam: Tim Smith & Lodz Fotofestival,participants,252
BY_PROJECT,Turner Prize,participant_instances,6968
BY_PROJECT,Turner Prize,participants,4102
BY_PROJECT,Unseen by Ascendance,participant_instances,0
BY_PROJECT,Unseen by Ascendance,participants,0
BY_PROJECT,Unspun Stories,participant_instances,0
BY_PROJECT,Unspun Stories,participants,0
BY_PROJECT,Urooj Ashfaq: How To Be A Baddie,participant_instances,0
BY_PROJECT,Urooj Ashfaq: How To Be A Baddie,participants,0
BY_PROJECT,Veiled Reality by Imran Ali (Carbon Imagineering),participant_instances,0
BY_PROJECT,Veiled Reality by Imran Ali (Carbon Imagineering),participants,0
BY_PROJECT,WE ARE STILL ASAFO,participant_instances,0
BY_PROJECT,WE ARE STILL ASAFO,participants,0
BY_PROJECT,WOW Community Partnership,participant_instances,0
BY_PROJECT,WOW Community Partnership,participants,0
BY_PROJECT,Wandering Imaginations: Emerging Fantasy Writer Exchange,participant_instances,0
BY_PROJECT,Wandering Imaginations: Emerging Fantasy Writer Exchange,participants,0
BY_PROJECT,We Will Sing by Ann Hamilton at Salt's Mill,participant_instances,1369
BY_PROJECT,We Will Sing by Ann Hamilton at Salt's Mill,participants,801
BY_PROJECT,West Yorkshire Young Poet Laureate,participant_instances,17
BY_PROJECT,West Yorkshire Young Poet Laureate,participants,17
BY_PROJECT,"Whale, Where Are You Going?",participant_instances,0
BY_PROJECT,"Whale, Where Are You Going?",participants,0
BY_PROJECT,Where It Began – Osman Yousefzada,participant_instances,326
BY_PROJECT,Where It Began – Osman Yousefzada,participants,326
BY_PROJECT,Whine List,participant_instances,0
BY_PROJECT,Whine List,participants,0
BY_PROJECT,Wild Uplands,participant_instances,3789
BY_PROJECT,Wild Uplands,participants,2408
BY_PROJECT,Wonky Olympics,participant_instances,88
BY_PROJECT,Wonky Olympics,participants,88
BY_PROJECT,World Curry Festival,participant_instances,0
BY_PROJECT,World Curry Festival,participants,0
BY_PROJECT,World Piano Day 2025,participant_instances,0
BY_PROJECT,World Piano Day 2025,participants,0
BY_PROJECT,World of Women (Cecil Green Arts),participant_instances,0
BY_PROJECT,World of Women (Cecil Green Arts),participants,0
BY_PROJECT,Wyke Dragons - Tim Curtis,participant_instances,0
BY_PROJECT,Wyke Dragons - Tim Curtis,participants,0
BY_PROJECT,YOU:MATTER,participant_instances,0
BY_PROJECT,YOU:MATTER,participants,0
BY_PROJECT,Your Best Guess,participant_instances,28
BY_PROJECT,Your Best Guess,participants,28
BY_PROJECT,Youth Club in Bowling Park,participant_instances,120
BY_PROJECT,Youth Club in Bowling Park,participants,120
BY_PROJECT,Youth Fest 25,participant_instances,0
BY_PROJECT,Youth Fest 25,participants,0
BY_PROJECT,Youth Pass Events,participant_instances,0
BY_PROJECT,Youth Pass Events,participants,0
BY_PROJECT,Youthology,participant_instances,0
BY_PROJECT,Youthology,participants,0
BY_PROJECT,Zee and the City,participant_instances,776
BY_PROJECT,Zee and the City,participants,728
BY_PROJECT,asses.masses,participant_instances,0
BY_PROJECT,asses.masses,participants,0
