Project Name (fx),Project Name,Programme Category,CP - Unique Participants to date,CL - Unique Participants to date,CP Activity Category,Total UNIQUE People Receiving Training
Our Patch - Creative Flare Clayton,Our Patch - Creative Flare Clayton,Engagement,25,0,05 - Our Patch,0
Our Patch - K Town Sound Machine,Our Patch - K Town Sound Machine,Engagement,298,0,05 - Our Patch,0
Our Patch - The Keighley Chorus ,Our Patch - The Keighley Chorus ,Engagement,226,0,05 - Our Patch,0
Our Patch - Barkerend Family Hub Sensory Garden and Craft Group Project,Our Patch - Barkerend Family Hub Sensory Garden and Craft Group Project,Engagement,144,0,05 - Our Patch,0
Our Patch - DRAW Tour Workshops: South,Our Patch - DRAW Tour Workshops: South,Engagement,161,0,05 - Our Patch,0
Our Patch - Parkside Tapestry/Craft Project ,Our Patch - Parkside Tapestry/Craft Project ,Engagement,85,0,05 - Our Patch,0
Our Patch - Thornbury Roundabout Environmental Art Project,Our Patch - Thornbury Roundabout Environmental Art Project,Engagement,154,0,05 - Our Patch,0
Our Patch - Short Breaks ,Our Patch - Short Breaks ,Engagement,19,0,05 - Our Patch,0
Our Patch - Women's Group BD5,Our Patch - Women's Group BD5,Engagement,16,0,05 - Our Patch,0
Our Patch - Carnival Dance Project,Our Patch - Carnival Dance Project,Engagement,21,0,05 - Our Patch,0
Our Patch - Laisterdyke Mosaic Project,Our Patch - Laisterdyke Mosaic Project,Engagement,80,0,05 - Our Patch,0
Our Patch - Lower Grange Culture Cafe,Our Patch - Lower Grange Culture Cafe,Engagement,133,0,05 - Our Patch,0
Our Patch - Public Art Trail Holmewood,Our Patch - Public Art Trail Holmewood,Engagement,12,0,05 - Our Patch,0
Our Patch - BSL and Art/Hands that Speak / Open Hands ,Our Patch - BSL and Art/Hands that Speak / Open Hands ,Engagement,140,0,05 - Our Patch,0
Our Patch - (Beacon) The Big Beacon Family Welcome - Cliffe Castle,Our Patch - (Beacon) The Big Beacon Family Welcome - Cliffe Castle,"Combined arts,Engagement",1095,0,05 - Our Patch,0
Our Patch - (Beacon) The Big Beacon Family Welcome - Lister,Our Patch - (Beacon) The Big Beacon Family Welcome - Lister,"Combined arts,Engagement",2042,0,05 - Our Patch,0
Great Crafty Get-Together,Great Crafty Get-Together,"Combined arts,Engagement",86,0,05 - Our Patch,0
Our Patch - Girafes Workshops ,Our Patch - Girafes Workshops ,Engagement,374,0,05 - Our Patch,0
Our Patch - One-off community events: East,Our Patch - One-off community events: East,Engagement,3177,0,05 - Our Patch,0
Our Patch - One-off community events: Shipley ,Our Patch - One-off community events: Shipley ,Engagement,3167,0,05 - Our Patch,0
Our Patch - One-off community events: South,Our Patch - One-off community events: South,Engagement,1821,0,05 - Our Patch,0
Our Patch - Bingley Skate Park/Myrtle Park,Our Patch - Bingley Skate Park/Myrtle Park,Engagement,139,0,05 - Our Patch,0
Our Patch - Ravenscliffe Drumming Workshops,Our Patch - Ravenscliffe Drumming Workshops,Engagement,83,0,05 - Our Patch,0
Our Patch - Pop up repair patch ,Our Patch - Pop up repair patch ,Engagement,207,0,05 - Our Patch,0
Our Patch - Rug Project (East)   ,Our Patch - Rug Project (East)   ,Engagement,121,0,05 - Our Patch,0
Our Patch - One-off community events: West,Our Patch - One-off community events: West,Engagement,1244,0,05 - Our Patch,0
Our Patch - Get2Gether Group ,Our Patch - Get2Gether Group ,Engagement,553,0,05 - Our Patch,0
Our Patch - The Blank Page Club,Our Patch - The Blank Page Club,Engagement,21,0,05 - Our Patch,0
Our Patch - Cadets (Keighley/Shipley),Our Patch - Cadets (Keighley/Shipley),Engagement,22,0,05 - Our Patch,0
Our Patch - Lower Grange Art Club,Our Patch - Lower Grange Art Club,Engagement,72,0,05 - Our Patch,0
Our Patch - One-off community events: Keighley & Ilkley,Our Patch - One-off community events: Keighley & Ilkley,Engagement,1451,0,05 - Our Patch,0
Our Patch - Bierley Community Centre Art Club,Our Patch - Bierley Community Centre Art Club,Engagement,16,0,05 - Our Patch,0
Our Patch - Marie Curie Residents Project ,Our Patch - Marie Curie Residents Project ,Engagement,71,0,05 - Our Patch,0
Our Patch - Bingley 25 Festival ,Our Patch - Bingley 25 Festival ,Engagement,1498,0,05 - Our Patch,0
Our Patch - Dementia Friendly Keighley The Singing Teapot!,Our Patch - Dementia Friendly Keighley The Singing Teapot!,Engagement,42,0,05 - Our Patch,0
Our Patch - Express Yourself! Salvation Army,Our Patch - Express Yourself! Salvation Army,Engagement,207,0,05 - Our Patch,0
Our Patch - Peel Park Youth Art Project,Our Patch - Peel Park Youth Art Project,Engagement,23,0,05 - Our Patch,0
Our Patch - Memory Tree Burley in Wharfdale,Our Patch - Memory Tree Burley in Wharfdale,Engagement,25,0,05 - Our Patch,0
Our Patch - Stitch and Pixels ALL SESSIONS ,Our Patch - Stitch and Pixels ALL SESSIONS ,Engagement,311,0,05 - Our Patch,0
Our Patch - Doorstep Davincis,Our Patch - Doorstep Davincis,Engagement,82,0,05 - Our Patch,0
Our Patch - Baildon Carnival - Banner Making ,Our Patch - Baildon Carnival - Banner Making ,Engagement,63,48,05 - Our Patch,0
Our Patch - Tu i Tam Community Visits ,Our Patch - Tu i Tam Community Visits ,Engagement,129,0,05 - Our Patch,0
Our Patch - (Beacon) Creative family sessions ,Our Patch - (Beacon) Creative family sessions ,Engagement,219,0,05 - Our Patch,0
Our Patch - People's Care Movement ,Our Patch - People's Care Movement ,Engagement,275,0,05 - Our Patch,0
Our Patch - (Beacon) Rugby Tots,Our Patch - (Beacon) Rugby Tots,Engagement,148,0,05 - Our Patch,0
Our Patch - Summer Reading Challenge (All Areas) ,Our Patch - Summer Reading Challenge (All Areas) ,"Literature,Engagement",538,0,05 - Our Patch,0
Our Patch - Green Futures: The New Keith Thompson Centre,Our Patch - Green Futures: The New Keith Thompson Centre,Engagement,356,0,05 - Our Patch,0
Our Patch - Boxing for wellbeing Al Hira Mosque ,Our Patch - Boxing for wellbeing Al Hira Mosque ,Engagement,58,0,05 - Our Patch,0
Our Patch - Boxing for wellbeing Kirkgate Centre ,Our Patch - Boxing for wellbeing Kirkgate Centre ,Engagement,22,0,05 - Our Patch,0
Our Patch - Boxing for wellbeing Oneness Centre ,Our Patch - Boxing for wellbeing Oneness Centre ,Engagement,21,0,05 - Our Patch,0
Our Patch - Boxing for wellbeing Carlton Bolling School ,Our Patch - Boxing for wellbeing Carlton Bolling School ,Engagement,24,0,05 - Our Patch,0
Our Patch - Motiv8 - What you sayin ,Our Patch - Motiv8 - What you sayin ,Engagement,49,0,05 - Our Patch,0
Our Patch - Wibsey Community Garden - BD6 Artistes ,Our Patch - Wibsey Community Garden - BD6 Artistes ,Engagement,3,0,05 - Our Patch,0
Our Patch - BD4 Artistes (Holme in the Wood Cafe/Bierley Church,Our Patch - BD4 Artistes (Holme in the Wood Cafe/Bierley Church,Engagement,61,0,05 - Our Patch,0
Our Patch - Brackenhill Park Picasso Parks ,Our Patch - Brackenhill Park Picasso Parks ,Engagement,27,0,05 - Our Patch,0
Our Patch - Tong Village - The Village Van Goghs,Our Patch - Tong Village - The Village Van Goghs,Engagement,42,0,05 - Our Patch,0
Our Patch - Buttershaw Sandale Trust 'Youth Art' ,Our Patch - Buttershaw Sandale Trust 'Youth Art' ,Engagement,38,0,05 - Our Patch,0
Our Patch - Reevy Hill Mural ,Our Patch - Reevy Hill Mural ,Engagement,66,0,05 - Our Patch,0
Our Patch - Scouts and Cubs at St James Church Hall ,Our Patch - Scouts and Cubs at St James Church Hall ,Engagement,140,0,05 - Our Patch,0
Our Patch - Birdbox Project ,Our Patch - Birdbox Project ,Engagement,128,0,05 - Our Patch,0
Our Patch - Hainworth Wood Project - People's Podcast ,Our Patch - Hainworth Wood Project - People's Podcast ,Engagement,111,0,05 - Our Patch,0
Our Patch - Community Trips - Keighley & Ilkley ,Our Patch - Community Trips - Keighley & Ilkley ,Engagement,449,0,05 - Our Patch,0
Our Patch - Rhythms on The Road East,Our Patch - Rhythms on The Road East,"Engagement,National Collaboration",423,0,05 - Our Patch,0
Our Patch - Community Trips - Shipley ,Our Patch - Community Trips - Shipley ,Engagement,129,0,05 - Our Patch,0
Our Patch - Community Trips - Bradford West ,Our Patch - Community Trips - Bradford West ,Engagement,333,0,05 - Our Patch,0
Our Patch - Community Trips - Bradford East,Our Patch - Community Trips - Bradford East,Engagement,372,0,05 - Our Patch,0
Our Patch - Community Trips - Bradford South ,Our Patch - Community Trips - Bradford South ,Engagement,284,0,05 - Our Patch,0
Our Patch - Vibe Check ,Our Patch - Vibe Check ,Engagement,10,0,05 - Our Patch,0
Our Patch - Roots & Fruits ,Our Patch - Roots & Fruits ,Engagement,84,0,05 - Our Patch,0
Our Patch - St Wilfrid's Community Cafe - Storytelling project ,Our Patch - St Wilfrid's Community Cafe - Storytelling project ,Engagement,28,0,05 - Our Patch,0
Our Patch - Art Bike Project,Our Patch - Art Bike Project,Engagement,19,0,05 - Our Patch,0
Our Patch - St Wilfrids Church - Church Star Project,Our Patch - St Wilfrids Church - Church Star Project,Engagement,226,0,05 - Our Patch,0
Our Patch - Our Holmewood Mural ,Our Patch - Our Holmewood Mural ,Engagement,77,0,05 - Our Patch,0
Our Patch - The Bridge - Cultural Care Package,Our Patch - The Bridge - Cultural Care Package,Engagement,38,0,05 - Our Patch,0
Our Patch - Made with Music at the Oaks ,Our Patch - Made with Music at the Oaks ,Engagement,58,0,05 - Our Patch,0
Our Patch - Heart and Hands Studio,Our Patch - Heart and Hands Studio,Engagement,77,0,05 - Our Patch,0
Our Patch - Denholme Mural Project,Our Patch - Denholme Mural Project,Engagement,79,0,05 - Our Patch,0
Our Patch - Crafty Folk Windhill,Our Patch - Crafty Folk Windhill,Engagement,25,0,05 - Our Patch,0
Our Patch - Us Girls,Our Patch - Us Girls,Engagement,30,0,05 - Our Patch,0
Our Patch - In Other Words,Our Patch - In Other Words,Engagement,17,0,05 - Our Patch,0
"Our Patch - Our Story, Our City","Our Patch - Our Story, Our City",Engagement,294,0,05 - Our Patch,0
Our Patch - Masjid Ayesha ,Our Patch - Masjid Ayesha ,Engagement,43,0,05 - Our Patch,0
Our Patch - Street Dance (Bolton Woods Centre/Black History Month),Our Patch - Street Dance (Bolton Woods Centre/Black History Month),Engagement,16,0,05 - Our Patch,0
Our Patch - Family Photo Workshops (West),Our Patch - Family Photo Workshops (West),Engagement,20,0,05 - Our Patch,0
Our Patch - Musical Stories,Our Patch - Musical Stories,"Music,Dance / Movement / Circus,Engagement",534,0,05 - Our Patch,0
Our Patch - (Beacon) Big DRAW!,Our Patch - (Beacon) Big DRAW!,Engagement,1558,0,05 - Our Patch,0
Our Patch - Bracken Hall Scarecrow Festival,Our Patch - Bracken Hall Scarecrow Festival,Engagement,53,0,05 - Our Patch,0
Our Patch - Arabic Calligraphy,Our Patch - Arabic Calligraphy,Engagement,83,0,05 - Our Patch,0
Our Patch - Between the Lines,Our Patch - Between the Lines,Engagement,11,0,05 - Our Patch,0
Our Patch - Bolton Villas Youth Group,Our Patch - Bolton Villas Youth Group,Engagement,34,0,05 - Our Patch,0
Our Patch - Eastwood Singing Sessions (Peace meal) ,Our Patch - Eastwood Singing Sessions (Peace meal) ,Engagement,26,0,05 - Our Patch,0
Our Patch - Doctors: Engaging patients at the surgeries (Musarat/Eyarun),Our Patch - Doctors: Engaging patients at the surgeries (Musarat/Eyarun),Engagement,24,0,05 - Our Patch,0
Our Patch - Grateful performances,Our Patch - Grateful performances,Engagement,97,0,05 - Our Patch,0
Our Patch - Holmewood Film Project ,Our Patch - Holmewood Film Project ,Engagement,30,0,05 - Our Patch,0
Our Patch - The Pebble Project ,Our Patch - The Pebble Project ,Engagement,238,0,05 - Our Patch,0
Our Patch - Wild + Kind ,Our Patch - Wild + Kind ,Engagement,255,0,05 - Our Patch,0
Our Patch - DeMaskUs,Our Patch - DeMaskUs,Engagement,42,0,05 - Our Patch,0
Our Patch - Arts and Crafts (Great Horton Community Hub),Our Patch - Arts and Crafts (Great Horton Community Hub),Engagement,18,0,05 - Our Patch,0
Our Patch - K Town People ,Our Patch - K Town People ,Engagement,472,0,05 - Our Patch,0
Our Patch - Trips to the Hive from Bradford East ,Our Patch - Trips to the Hive from Bradford East ,Engagement,1,0,05 - Our Patch,0
Our Patch - Word on the Street,Our Patch - Word on the Street,Engagement,4,0,05 - Our Patch,0
Our Patch - WYP Early Action Team Drama & Creative Writing Project,Our Patch - WYP Early Action Team Drama & Creative Writing Project,Engagement,12,0,05 - Our Patch,0
Our Patch - Shipley Warm Space,Our Patch - Shipley Warm Space,Engagement,11,0,05 - Our Patch,0
Our Patch - Smoothie Bike Project,Our Patch - Smoothie Bike Project,Engagement,110,0,05 - Our Patch,0
Our Patch - The Polish Day Independence Celebration,Our Patch - The Polish Day Independence Celebration,Engagement,45,0,05 - Our Patch,0
Our Patch - Polish Drumming Session (Bębnienie),Our Patch - Polish Drumming Session (Bębnienie),Engagement,67,0,05 - Our Patch,0
Our Patch - EatDoFilm ,Our Patch - EatDoFilm ,Engagement,37,0,05 - Our Patch,0
Our Patch - Urdu Poetry Hub  ,Our Patch - Urdu Poetry Hub  ,Engagement,28,0,05 - Our Patch,0
Our Patch - Creative Writing Sessions West ,Our Patch - Creative Writing Sessions West ,Engagement,28,0,05 - Our Patch,0
Our Patch - How to make a theatre Show (WEST) ,Our Patch - How to make a theatre Show (WEST) ,Engagement,38,0,05 - Our Patch,0
Our Patch - Introduction to photography (West) ,Our Patch - Introduction to photography (West) ,Engagement,4,0,05 - Our Patch,0
Our Patch - Staying Put ,Our Patch - Staying Put ,Engagement,20,0,05 - Our Patch,0
Our Patch - Make me a ragdoll ,Our Patch - Make me a ragdoll ,Engagement,13,0,05 - Our Patch,0
Our Patch - What Is It Write Tong ,Our Patch - What Is It Write Tong ,Engagement,7,0,05 - Our Patch,0
Our Patch - Baba Yaga House on Chicken Leg – Woodwork & Creative Build,Our Patch - Baba Yaga House on Chicken Leg – Woodwork & Creative Build,Engagement,22,0,05 - Our Patch,0
Our Patch - The Meadow,Our Patch - The Meadow,Engagement,68,0,05 - Our Patch,0
Our Patch - Shared Ground The Our Patch Gathering (Conference) ,Our Patch - Shared Ground The Our Patch Gathering (Conference) ,Engagement,317,0,05 - Our Patch,0
The Big Draw @ East Riddlesden Hall (Drawn Together) ,The Big Draw @ East Riddlesden Hall (Drawn Together) ,"Associated Events,Engagement",400,0,05 - Our Patch,0
Our Patch - Polish School (GCSE Group),Our Patch - Polish School (GCSE Group),Engagement,12,0,05 - Our Patch,0
Our Patch - 'Ere to Ear,Our Patch - 'Ere to Ear,Engagement,31,0,05 - Our Patch,0
Our Patch - K Town Inconvenience Shop ,Our Patch - K Town Inconvenience Shop ,Engagement,64,0,05 - Our Patch,0
Beyond the Spectrum (Writing East Midlands),Beyond the Spectrum (Writing East Midlands),"Engagement,Literature,Talent Development",0,0,06 - Youth Skills and Training,16
Forge - Short Film Development Lab,Forge - Short Film Development Lab,"Film,Talent Development",0,0,06 - Youth Skills and Training,10
Creative Careers Festival,Creative Careers Festival,"Festival,Engagement",93,0,06 - Youth Skills and Training,0
Youth Skills and Training,Youth Skills and Training,,2436,0,06 - Youth Skills and Training,0
BPH training and skills development,BPH training and skills development,BPH training and skills development,0,0,06 - Youth Skills and Training,3891
