geography_code,geography_name,Aged 4 years and under,Aged 5 to 9 years,Aged 10 to 15 years,Aged 16 to 19 years,Aged 20 to 24 years,Aged 25 to 34 years,Aged 35 to 49 years,Aged 50 to 64 years,Aged 65 to 74 years,Aged 75 to 84 years,Aged 85 years and over
E01010813,Bradford 037D,7.9,9.6,11.2,8.3,7.6,14.7,21.3,11.4,5.0,2.4,0.6
E01010814,Bradford 057A,6.8,5.8,7.0,3.1,5.8,13.6,17.4,23.8,10.0,4.2,2.5
E01010815,Bradford 057B,8.1,8.6,10.2,5.1,7.3,13.9,21.7,16.3,5.4,2.5,1.1
E01010816,Bradford 057C,5.1,6.8,6.3,3.7,5.3,12.6,18.7,25.2,9.5,5.5,1.3
E01010817,Bradford 057D,9.9,10.1,9.6,4.4,4.9,15.1,21.3,14.2,6.2,3.0,1.5
E01010818,Bradford 057E,5.4,6.9,8.5,5.4,5.3,10.7,20.6,22.4,8.5,4.8,1.5
E01010819,Bradford 052B,7.2,8.6,10.9,5.1,5.4,14.8,18.2,18.4,6.4,3.7,1.1
E01010820,Bradford 052C,6.7,7.4,8.9,7.8,5.1,12.7,15.5,20.4,9.4,4.4,1.6
E01010821,Bradford 052D,9.4,9.7,11.3,5.5,6.1,17.8,20.2,12.9,4.3,2.4,0.4
E01010822,Bradford 052E,7.8,6.7,11.4,8.2,5.4,11.4,18.3,18.9,7.2,3.5,1.3
E01010824,Bradford 034C,8.3,6.7,8.9,5.5,9.0,18.0,20.6,15.0,5.8,1.4,0.9
E01010825,Bradford 032C,7.7,8.6,8.4,4.9,5.8,13.4,21.3,16.4,9.2,3.1,1.2
E01010826,Bradford 027D,9.5,13.2,13.6,5.3,6.5,12.9,19.9,13.2,4.6,1.2,0.4
E01010827,Bradford 032D,6.9,8.9,11.3,5.3,5.2,14.9,19.5,15.7,7.1,3.7,1.5
E01010828,Bradford 035A,6.6,6.8,7.7,5.9,5.6,14.0,19.4,17.4,8.7,5.1,2.6
E01010829,Bradford 035B,7.7,8.6,10.3,7.3,6.7,11.6,22.9,14.8,5.8,2.7,1.5
E01010830,Bradford 035C,8.4,11.0,12.8,8.1,9.0,13.2,21.6,9.3,4.4,1.5,0.6
E01010831,Bradford 035D,8.7,8.5,11.6,7.8,8.4,18.0,19.7,11.9,3.2,1.5,0.8
E01010832,Bradford 035E,6.1,9.2,15.1,8.6,8.9,11.9,19.7,11.8,4.5,2.3,1.9
E01010833,Bradford 041C,6.6,7.8,10.5,7.6,10.6,18.4,19.0,11.6,5.2,1.7,1.0
E01010834,Bradford 044A,2.5,1.9,3.8,13.4,32.9,20.9,15.4,5.4,2.2,1.2,0.5
E01010836,Bradford 044C,8.3,7.8,9.1,6.7,12.1,20.7,19.5,10.0,2.9,1.6,1.1
E01010837,Bradford 044D,7.1,8.6,10.4,8.3,8.1,14.9,21.1,12.0,5.6,2.4,1.3
E01010838,Bradford 044E,14.0,8.0,10.7,7.5,10.3,16.2,18.0,10.3,2.7,1.6,0.7
E01010839,Bradford 044F,9.3,8.0,10.9,6.7,7.4,16.9,21.3,10.6,5.7,2.1,1.1
E01010840,Bradford 034D,8.6,9.0,9.4,6.9,6.9,15.1,17.9,13.0,6.7,4.7,1.9
E01010841,Bradford 034E,6.9,6.8,9.8,8.0,9.8,14.0,22.2,11.2,8.2,2.0,1.1
E01010842,Bradford 065A,6.4,9.7,13.2,8.1,8.0,14.8,21.2,11.8,4.3,1.8,0.7
E01010843,Bradford 041D,6.5,8.8,13.0,9.2,10.4,12.4,22.1,10.4,4.4,1.9,1.1
E01010845,Bradford 059B,7.3,9.7,10.4,5.8,5.5,12.5,20.0,16.4,7.1,3.9,1.3
E01010846,Bradford 055E,6.8,7.1,8.5,4.8,7.2,12.0,19.3,20.4,8.3,4.0,1.7
E01010847,Bradford 054A,6.8,7.6,6.9,4.0,5.8,14.6,18.5,20.5,8.3,4.8,2.2
E01010848,Bradford 054B,6.4,6.1,7.7,4.5,5.2,13.0,18.6,20.6,9.5,5.4,3.0
E01010849,Bradford 059C,5.6,6.0,6.7,3.1,4.3,12.1,16.8,21.4,13.0,8.4,2.6
E01010850,Bradford 059D,7.5,11.3,12.1,5.0,5.2,14.5,19.7,17.8,4.9,1.4,0.6
E01010851,Bradford 059E,6.5,5.3,6.5,4.7,4.6,13.8,19.3,22.2,10.3,4.7,2.2
E01010852,Bradford 054C,10.8,7.3,9.5,5.4,5.7,15.5,18.6,14.0,6.5,4.0,2.7
E01010853,Bradford 054D,9.3,7.3,9.8,5.9,4.7,12.7,19.4,16.6,9.0,3.6,1.8
E01010854,Bradford 023A,4.3,5.9,6.0,4.3,4.0,13.3,22.1,21.4,10.9,5.7,2.1
E01010855,Bradford 023B,3.5,4.5,5.1,2.6,5.0,9.1,15.8,29.3,14.9,7.3,3.0
E01010856,Bradford 023C,4.6,4.1,5.4,4.5,4.1,11.2,19.8,25.3,11.8,6.0,3.3
E01010857,Bradford 023D,4.3,5.4,5.5,2.2,3.7,8.1,17.4,25.3,17.6,8.1,2.2
E01010858,Bradford 023E,4.1,4.8,7.0,3.7,3.8,10.0,19.7,27.0,12.6,5.2,2.2
E01010859,Bradford 012E,6.6,5.4,6.3,2.9,4.6,12.9,15.6,21.5,14.1,7.2,2.9
E01010860,Bradford 014B,5.2,5.7,7.1,3.4,5.2,11.3,19.4,23.5,11.6,5.6,2.0
E01010861,Bradford 023F,3.9,5.0,6.2,4.3,4.0,10.5,16.5,25.2,15.7,6.9,1.9
E01010862,Bradford 014C,4.5,6.7,6.6,4.3,5.1,11.8,19.3,24.0,11.4,4.8,1.6
E01010863,Bradford 014D,4.5,6.1,6.6,4.2,3.5,10.4,18.2,25.3,12.7,6.7,1.7
E01010864,Bradford 059F,6.0,7.1,8.7,6.7,4.8,12.2,20.5,22.3,7.5,2.7,1.7
E01010865,Bradford 060D,5.0,5.1,7.7,3.4,4.8,12.7,18.4,21.5,13.7,5.6,2.2
E01010866,Bradford 060E,5.4,5.4,5.0,4.7,4.2,12.9,19.3,21.8,12.3,6.4,2.6
E01010867,Bradford 059G,7.6,8.5,9.8,4.9,4.8,15.7,22.6,15.3,7.0,2.8,1.0
E01010868,Bradford 061A,7.8,7.8,8.1,6.0,5.2,13.8,18.3,19.5,9.2,3.5,0.8
E01010869,Bradford 061B,6.1,6.3,8.3,5.3,4.4,13.7,19.3,17.1,12.1,5.6,1.7
E01010870,Bradford 061C,4.8,5.6,5.2,3.0,4.0,9.9,17.6,23.3,14.7,10.0,1.8
E01010871,Bradford 061D,4.0,5.5,6.3,3.3,5.0,15.0,20.5,23.9,9.8,5.4,1.3
E01010872,Bradford 061E,7.7,9.1,11.9,5.0,4.6,14.0,18.4,14.9,7.9,5.3,1.4
E01010873,Bradford 061F,5.7,5.1,6.2,3.3,4.6,12.4,14.4,24.6,12.4,7.1,3.9
E01010874,Bradford 059H,6.9,8.2,9.7,4.7,5.2,15.8,19.3,14.4,6.3,4.6,5.0
E01033689,Bradford 020E,3.8,2.7,2.6,2.8,11.9,27.4,21.7,17.9,4.6,2.9,1.5
E01033690,Bradford 065C,7.7,5.1,2.2,3.3,14.0,36.5,23.7,6.5,0.7,0.3,0.1
E01033691,Bradford 065B,8.1,7.5,6.8,4.6,10.7,23.9,22.9,9.6,3.1,2.1,0.7
E01033692,Bradford 064D,6.0,7.1,4.9,3.3,12.1,26.9,23.9,12.7,1.9,0.6,0.6
E01033693,Bradford 064A,7.0,8.0,9.9,9.4,11.8,18.6,20.8,9.5,3.2,1.1,0.7
E01033694,Bradford 020F,5.1,4.8,4.6,3.2,4.2,18.3,26.8,20.0,7.9,4.0,1.1
E01033695,Bradford 049H,7.3,7.3,9.3,7.4,5.7,11.8,22.9,18.6,5.5,2.7,1.5
E01033696,Bradford 049I,4.1,6.1,8.3,4.5,5.3,14.2,21.7,20.0,9.0,5.0,1.8
E01033697,Bradford 049J,8.4,8.4,10.9,7.3,8.5,14.2,21.8,13.0,4.9,1.7,1.0
E01033898,Bradford 030E,12.4,10.3,10.4,6.1,6.9,17.3,18.8,11.7,3.1,2.1,0.9
E01033899,Bradford 030F,14.1,17.0,13.6,4.7,4.4,19.9,18.2,6.5,1.0,0.4,0.1
E01033900,Bradford 044G,8.1,8.3,13.1,9.8,8.6,13.5,21.7,9.3,4.1,2.2,1.3
E01033901,Bradford 044H,8.9,8.4,11.0,7.1,8.7,14.8,20.9,11.7,4.5,2.3,1.6
E05001341,Baildon,4.9,5.5,6.2,3.5,3.8,9.5,18.4,22.3,14.1,8.5,3.3
E05001342,Bingley,4.3,5.5,7.1,3.6,4.1,10.7,19.3,21.6,12.5,7.7,3.7
E05001343,Bingley Rural,4.7,5.8,7.2,3.8,3.9,11.0,18.7,22.0,12.9,7.5,2.5
E05001344,Bolton and Undercliffe,7.1,7.7,9.3,5.4,6.0,13.9,19.4,17.3,7.6,4.2,2.1
E05001345,Bowling and Barkerend,8.6,8.7,10.6,6.7,7.5,15.3,20.5,13.5,5.2,2.5,0.9
E05001346,Bradford Moor,8.0,8.9,12.3,7.6,8.1,14.2,21.0,12.5,4.5,2.0,0.8
E05001347,City (Bradford),7.4,6.8,8.1,7.3,13.4,20.4,20.2,10.1,3.7,1.8,0.9
E05001348,Clayton and Fairweather Green,6.6,7.6,11.0,6.0,5.8,12.1,18.9,17.0,8.6,4.4,2.0
E05001349,Craven,4.5,5.4,5.8,3.3,3.6,11.4,17.8,21.6,14.2,8.9,3.5
E05001350,Eccleshill,7.2,8.5,9.8,5.4,5.5,14.2,19.6,17.0,7.3,4.0,1.5
E05001351,Great Horton,8.3,8.8,10.7,6.7,6.7,13.4,21.4,13.3,6.2,3.0,1.5
E05001352,Heaton (Bradford),8.3,9.1,10.7,6.9,6.7,14.4,20.6,13.5,5.5,3.0,1.3
E05001353,Idle and Thackley,5.7,5.4,6.7,3.7,4.7,13.5,19.7,21.8,10.5,5.7,2.5
E05001354,Ilkley,3.3,5.0,7.8,4.2,3.2,6.9,17.4,22.4,13.1,10.6,6.1
E05001355,Keighley Central,6.8,7.7,10.7,6.9,6.9,14.0,20.4,13.7,7.2,3.8,1.9
E05001356,Keighley East,5.9,7.0,8.2,4.8,5.2,12.6,19.3,19.4,10.4,5.4,1.9
E05001357,Keighley West,6.7,7.3,8.2,4.2,5.3,13.3,17.9,20.3,9.6,5.3,1.9
E05001358,Little Horton,8.5,9.5,12.6,8.2,7.9,13.4,21.2,11.9,4.3,1.9,0.7
E05001359,Manningham,7.3,8.2,11.0,8.1,8.5,15.0,21.2,12.0,5.5,2.2,1.1
E05001360,Queensbury (Bradford),6.1,6.3,7.9,4.6,5.0,13.5,19.8,21.1,9.2,4.6,1.8
E05001361,Royds,6.7,7.5,9.0,5.1,5.3,13.5,19.6,18.8,8.2,4.3,2.1
E05001362,Shipley,5.2,5.9,6.8,4.2,4.8,14.8,21.6,18.7,9.3,5.7,3.0
E05001363,Thornton and Allerton,6.8,7.4,9.1,4.9,5.0,12.3,19.8,18.6,9.2,5.0,1.9
E05001364,Toller (Bradford),8.2,8.1,10.6,7.6,8.7,15.1,21.2,12.1,5.0,2.2,1.1
E05001365,Tong,7.6,8.1,9.8,5.7,5.7,13.8,19.3,18.3,6.9,3.5,1.3
E05001366,Wharfedale (Bradford),4.8,6.1,8.1,4.0,3.2,8.1,19.8,22.0,12.6,7.7,3.6
E05001367,Wibsey,7.4,7.3,8.7,5.1,5.9,12.9,18.7,18.5,8.8,4.8,2.1
E05001368,Windhill and Wrose,6.5,6.7,7.4,4.3,5.5,14.2,19.3,19.5,9.2,5.2,2.0
E05001369,Worth Valley,4.3,5.4,6.1,3.7,4.3,10.7,18.8,25.0,13.2,6.1,2.2
E05001370,Wyke,5.8,6.3,7.3,4.3,4.7,13.1,18.0,20.7,11.6,6.2,2.0
E08000032,Bradford,6.6,7.2,9.0,5.5,6.1,13.3,19.7,17.4,8.5,4.7,2.0
E08000033,Calderdale,5.5,6.2,7.7,4.4,4.9,12.1,19.1,21.2,10.6,6.1,2.3
E08000034,Kirklees,5.8,6.4,7.9,4.9,6.0,12.7,19.3,19.4,9.8,5.8,2.1
E08000035,Leeds,5.8,6.1,7.0,5.3,8.7,14.9,19.4,17.2,8.4,5.1,2.1
E08000036,Wakefield,5.7,5.9,7.0,3.9,5.1,13.9,19.0,20.6,10.4,6.3,2.1
E12000003,Yorkshire and The Humber,5.4,5.9,7.2,4.7,6.3,13.1,18.5,19.7,10.3,6.3,2.4
E92000001,England,5.4,5.9,7.2,4.6,6.0,13.6,19.4,19.4,9.8,6.1,2.4
