project_name,2023-11-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01,2025-04-01,2025-05-01,2025-06-01,2025-07-01
Punjabi Heritage and Culture by Saath,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Qawalli Night at The Beacon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
RISE,0,0,0,0,0,0,0,0,0,0,3,11,11,13,0,0,0,0,0,0
Ramadan Pavillion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Robyn Hood - Fidget Theatre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Roshni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
STRIKE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Sarab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Say It As It Is - Bowling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Say It As It Is - Wibsey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Share Your Story at Beacon (National Literacy Trust),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,4,0
"Sing, Dance, Leap",0,0,0,0,0,0,0,0,0,42,29,4,2,2,2,1,0,1,5,0
Sisters 360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"So Far, So Good (Yorkshire Dance, as part of BD FEST)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0
Spin Arts: RIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Sustenance the Power of Food,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
TCF Artist Residency,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tape Letters,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0
Tech Styles @ The Beacon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Teen Scene Party,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Testo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
The 56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
The Belgrave House Band - Back to Black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
The Bradford Progress,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,23,0,0
The Dreams I Had: Andrea Dunbar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
The Portrait of Mai: Youth Engagement Programme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
The Railway Children,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,7,0
The Sticky Dance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
The Tiger Lillies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Tour the Writer,0,0,0,0,0,0,1,1,2,1,2,2,1,2,2,2,1,1,1,1
Tower of Now Engagement Strand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Tower of Now: Saad Qureshi (programme strand),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Toxic - Dibby Theatre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Tu i Tam / Tyt i Tam: Tim Smith & Lodz Fotofestival,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
Unspun - 509 Arts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
WOW Community Partnership,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Wandering Imaginations: Emerging Fantasy Writer Exchange,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,2,2
We Will Sing by Ann Hamilton at Salt's Mill,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,2,3,2,2
West Yorkshire Young Poet Laureate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Where It All Begain,0,0,0,0,0,10,26,26,27,25,12,0,0,0,0,0,0,0,0,0
Where It Began – Osman Yousefzada,0,0,0,0,1,4,7,3,1,1,1,1,1,1,1,1,1,1,1,1
Whine List,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Wild Uplands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,8,15,3
Wonky Olympics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
YOU:MATTER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,1,1
Youth Club in Bowling Park (closed event),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Youthology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
asses.masses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
zz - Beacon - Non-project related venue activity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
zz - Loading Bay Venue Activity (non-project related),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0
