project_name,2023-07-01,2023-11-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01,2025-04-01,2025-05-01,2025-06-01,2025-07-01,2025-08-01,2025-09-01,2025-10-01
Our Patch - Beacon Creative family sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,0,0
Our Patch - Beacon Rugby Tots,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0
Our Patch - Bierley Community Centre Art Club,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,25,15,24,7,0,0,0
Our Patch - Bingley 25 Festival,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1475,0,0,0,0,0
Our Patch - Bingley Skate Park/Myrtle Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,42,97,0
Our Patch - Birdbox Project,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,66,156,0
Our Patch - Boxing for wellbeing Al Hira Mosque,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,106,150,56,0
Our Patch - Boxing for wellbeing Carlton Bolling School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,153,0,0,0
Our Patch - Boxing for wellbeing Kirkgate Centre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,56,22,0,0
Our Patch - Boxing for wellbeing Oneness Centre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,33,0,0
Our Patch - Buttershaw Sandale Trust 'Youth Art',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,20,0,0
Our Patch - Cadets (Keighley/Shipley),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,0,0,0,0
Our Patch - Carnival Dance Project,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,73,44,0,0,0,0
Our Patch - Community Trips - Bradford East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Our Patch - Community Trips - Bradford South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,61,0
Our Patch - Community Trips - Bradford West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,0
Our Patch - Community Trips - Keighley & Ilkley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,54,0
Our Patch - Community of Care Project (How Do We Care?),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,21,0,0
Our Patch - Crafty Folk Windhill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
Our Patch - Crazy Zebra Crew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,11,0,0,0,0,0
