datestamp,estimated_actual_footfall
2022-10-28,750339
2022-10-29,728567
2022-10-30,700278
2022-10-31,730252
2022-11-01,682194
2022-11-02,674949
2022-11-03,733123
2022-11-04,714543
2022-11-05,708184
2022-11-06,728211
2022-11-07,736678
2022-11-08,734219
2022-11-09,725331
2022-11-10,731949
2022-11-11,766024
2022-11-12,727094
2022-11-13,654684
2022-11-14,760693
2022-11-15,733713
2022-11-16,735775
2022-11-17,709211
2022-11-18,741826
2022-11-19,773537
2022-11-20,799070
2022-11-21,761953
2022-11-22,814965
2022-11-23,760042
2022-11-24,751342
2022-11-25,732480
2022-11-26,705714
2022-11-27,707718
2022-11-28,741469
2022-11-29,730289
2022-11-30,758134
2022-12-01,695700
2022-12-02,734686
2022-12-03,761868
2022-12-04,746080
2022-12-05,747489
2022-12-06,731372
2022-12-07,747832
2022-12-08,767265
2022-12-09,776185
2022-12-10,724318
2022-12-11,703754
2022-12-12,762752
2022-12-13,674690
2022-12-14,701278
2022-12-15,708550
2022-12-16,712659
2022-12-17,690056
2022-12-18,652004
2022-12-19,645927
2022-12-20,716737
2022-12-21,748185
2022-12-22,748836
2022-12-23,731567
2022-12-24,725294
2022-12-25,685092
2022-12-26,683362
2022-12-27,677335
2022-12-28,661575
2022-12-29,673463
2022-12-30,660134
2022-12-31,661524
2023-01-01,674841
2023-01-02,670381
2023-01-03,716418
2023-01-04,718722
2023-01-05,741169
2023-01-06,759833
2023-01-07,745232
2023-01-08,746937
2023-01-09,755741
2023-01-10,723250
2023-01-11,728100
2023-01-12,750748
2023-01-13,741149
2023-01-14,736375
2023-01-15,663714
2023-01-16,708979
2023-01-17,731317
2023-01-18,751512
2023-01-19,760487
2023-01-20,717963
2023-01-21,723312
2023-01-22,707799
2023-01-23,827720
2023-01-24,871336
2023-01-25,824465
2023-01-26,766924
2023-01-27,786239
2023-01-28,744266
2023-01-29,787488
2023-01-30,841219
2023-01-31,780357
2023-02-01,752493
2023-02-02,731797
2023-02-03,809283
2023-02-04,799504
2023-02-05,727273
2023-02-06,726113
2023-02-07,809675
2023-02-08,694461
2023-02-09,744616
2023-02-10,735496
2023-02-11,735957
2023-02-12,763114
2023-02-13,783578
2023-02-14,806090
2023-02-15,801705
2023-02-16,726932
2023-02-17,761727
2023-02-18,682742
2023-02-19,693762
2023-02-20,828744
2023-02-21,830214
2023-02-22,807073
2023-02-23,841245
2023-02-24,809623
2023-02-25,753884
2023-02-26,728731
2023-02-27,802641
2023-02-28,783500
2023-03-01,812278
2023-03-02,866584
2023-03-03,860605
2023-03-04,858180
2023-03-05,906253
2023-03-06,861035
2023-03-07,787056
2023-03-08,821440
2023-03-09,814522
2023-03-10,747662
2023-03-11,815886
2023-03-12,822949
2023-03-13,844739
2023-03-14,856809
2023-03-15,824558
2023-03-16,823675
2023-03-17,889249
2023-03-18,861224
2023-03-19,792106
2023-03-20,814158
2023-03-21,828448
2023-03-22,862242
2023-03-23,834712
2023-03-24,915777
2023-03-25,829906
2023-03-26,827586
2023-03-27,843013
2023-03-28,798321
2023-03-29,808544
2023-03-30,810054
2023-03-31,848296
2023-04-01,756139
2023-04-02,753850
2023-04-03,847830
2023-04-04,928063
2023-04-05,821423
2023-04-06,822249
2023-04-07,798721
2023-04-08,809287
2023-04-09,858925
2023-04-10,782450
2023-04-11,755810
2023-04-12,824394
2023-04-13,827681
2023-04-14,833780
2023-04-15,818913
2023-04-16,764015
2023-04-17,800749
2023-04-18,770473
2023-04-19,762132
2023-04-20,852299
2023-04-21,768454
2023-04-22,747150
2023-04-23,783515
2023-04-24,775063
2023-04-25,791205
2023-04-26,851729
2023-04-27,818544
2023-04-28,819981
2023-04-29,833283
2023-04-30,862699
2023-05-01,873493
2023-05-02,843745
2023-05-03,836046
2023-05-04,806471
2023-05-05,865310
2023-05-06,793828
2023-05-07,823403
2023-05-08,807814
2023-05-09,822128
2023-05-10,823649
2023-05-11,876290
2023-05-12,781195
2023-05-13,738779
2023-05-14,788669
2023-05-15,785431
2023-05-16,732914
2023-05-17,796063
2023-05-18,747131
2023-05-19,729867
2023-05-20,749336
2023-05-21,701021
2023-05-22,752934
2023-05-23,718340
2023-05-24,776783
2023-05-25,736170
2023-05-26,744219
2023-05-27,775659
2023-05-28,695375
2023-05-29,726693
2023-05-30,727382
2023-05-31,816154
2023-06-01,751129
2023-06-02,773695
2023-06-03,687827
2023-06-04,767517
2023-06-05,806765
2023-06-06,765914
2023-06-07,785169
2023-06-08,802530
2023-06-09,847847
2023-06-10,722702
2023-06-11,723241
2023-06-12,783174
2023-06-13,815870
2023-06-14,792790
2023-06-15,793451
2023-06-16,767926
2023-06-17,704260
2023-06-18,744631
2023-06-19,811693
2023-06-20,834130
2023-06-21,789626
2023-06-22,717962
2023-06-23,763297
2023-06-24,712524
2023-06-25,786066
2023-06-26,839480
2023-06-27,735604
2023-06-28,831988
2023-06-29,801203
2023-06-30,855996
2023-07-01,795552
2023-07-02,745666
2023-07-03,776744
2023-07-04,770595
2023-07-05,914451
2023-07-06,821833
2023-07-07,855909
2023-07-08,860983
2023-07-09,898513
2023-07-10,861728
2023-07-11,894559
2023-07-12,836577
2023-07-13,861022
2023-07-14,855495
2023-07-15,800431
2023-07-16,854342
2023-07-17,773033
2023-07-18,813782
2023-07-19,843361
2023-07-20,891259
2023-07-21,864538
2023-07-22,746484
2023-07-23,765641
2023-07-24,701171
2023-07-25,771664
2023-07-26,767010
2023-07-27,803057
2023-07-28,765103
2023-07-29,704140
2023-07-30,701660
2023-07-31,703337
2023-08-01,716357
2023-08-02,733903
2023-08-03,775244
2023-08-04,735527
2023-08-05,762138
2023-08-06,743801
2023-08-07,773631
2023-08-08,758900
2023-08-09,738858
2023-08-10,797531
2023-08-11,790976
2023-08-12,755199
2023-08-13,777001
2023-08-14,721947
2023-08-15,752853
2023-08-16,740146
2023-08-17,674622
2023-08-18,684898
2023-08-19,656606
2023-08-20,695720
2023-08-21,667710
2023-08-22,743581
2023-08-23,759514
2023-08-24,708503
2023-08-25,767836
2023-08-26,748739
2023-08-27,698586
2023-08-28,814089
2023-08-29,734056
2023-08-30,791929
2023-08-31,712267
2023-09-01,818318
2023-09-02,789908
2023-09-03,714873
2023-09-04,720680
2023-09-05,742130
2023-09-06,708959
2023-09-07,739949
2023-09-08,693889
2023-09-09,683744
2023-09-10,632714
2023-09-11,662875
2023-09-12,721888
2023-09-13,643086
2023-09-14,722176
2023-09-15,684580
2023-09-16,710015
2023-09-17,721983
2023-09-18,744095
2023-09-19,661243
2023-09-20,707565
2023-09-21,647519
2023-09-22,658427
2023-09-23,697100
2023-09-24,669821
2023-09-25,748080
2023-09-26,763405
2023-09-27,698736
2023-09-28,705162
2023-09-29,701052
2023-09-30,692667
2023-10-01,697249
2023-10-02,663215
2023-10-03,719864
2023-10-04,731877
2023-10-05,732675
2023-10-06,686166
2023-10-07,756672
2023-10-08,706875
2023-10-09,699044
2023-10-10,742453
2023-10-11,805519
2023-10-12,720300
2023-10-13,661480
2023-10-14,675411
2023-10-15,662865
2023-10-16,727231
2023-10-17,708597
2023-10-18,699914
2023-10-19,673247
2023-10-20,695785
2023-10-21,702611
2023-10-22,627814
2023-10-23,652868
2023-10-24,687872
2023-10-25,620749
2023-10-26,586761
2023-10-27,718508
2023-10-28,607404
2023-10-29,715853
2023-10-30,747336
2023-10-31,703228
2023-11-01,774963
2023-11-02,742182
2023-11-03,718261
2023-11-04,679100
2023-11-05,699890
2023-11-06,742923
2023-11-07,737898
2023-11-08,770482
2023-11-09,702754
2023-11-10,780299
2023-11-11,733565
2023-11-12,726092
2023-11-13,688871
2023-11-14,720834
2023-11-15,699528
2023-11-16,697267
2023-11-17,669385
2023-11-18,688622
2023-11-19,642079
2023-11-20,731323
2023-11-21,714851
2023-11-22,690491
2023-11-23,658739
2023-11-24,736558
2023-11-25,718685
2023-11-26,646463
2023-11-27,718535
2023-11-28,709853
2023-11-29,659199
2023-11-30,739427
2023-12-01,732595
2023-12-02,607861
2023-12-03,636637
2023-12-04,598020
2023-12-05,590893
2023-12-06,673717
2023-12-07,641147
2023-12-08,643240
2023-12-09,647912
2023-12-10,561331
2023-12-11,671320
2023-12-12,682316
2023-12-13,645305
2023-12-14,605169
2023-12-15,648849
2023-12-16,644100
2023-12-17,691709
2023-12-18,602857
2023-12-19,674240
2023-12-20,620584
2023-12-21,591860
2023-12-22,626172
2023-12-23,613590
2023-12-24,522895
2023-12-25,541974
2023-12-26,618240
2023-12-27,647272
2023-12-28,619514
2023-12-29,615036
2023-12-30,694956
2023-12-31,614107
2024-01-01,574566
2024-01-02,620174
2024-01-03,699980
2024-01-04,653012
2024-01-05,603259
2024-01-06,629963
2024-01-07,634563
2024-01-08,547179
2024-01-09,625032
2024-01-10,591948
2024-01-11,562662
2024-01-12,612840
2024-01-13,613391
2024-01-14,529314
2024-01-15,666153
2024-01-16,605266
2024-01-17,626738
2024-01-18,560256
2024-01-19,567803
2024-01-20,509289
2024-01-21,555427
2024-01-22,618834
2024-01-23,700365
2024-01-24,591409
2024-01-25,567737
2024-01-26,568712
2024-01-27,558027
2024-01-28,475425
2024-01-29,542216
2024-01-30,602061
2024-01-31,576085
2024-02-01,562485
2024-02-02,568473
2024-02-03,557834
2024-02-04,563584
2024-02-05,556395
2024-02-06,546028
2024-02-07,519161
2024-02-08,531045
2024-02-09,621096
2024-02-10,629581
2024-02-11,544683
2024-02-12,618713
2024-02-13,505500
2024-02-14,573480
2024-02-15,607275
2024-02-16,567956
2024-02-17,621776
2024-02-18,615409
2024-02-19,550865
2024-02-20,601628
2024-02-21,580045
2024-02-22,555939
2024-02-23,531430
2024-02-24,609795
2024-02-25,560720
2024-02-26,504890
2024-02-27,564872
2024-02-28,612450
2024-02-29,646566
2024-03-01,657056
2024-03-02,637043
2024-03-03,636934
2024-03-04,662379
2024-03-05,592446
2024-03-06,548513
2024-03-07,524982
2024-03-08,498255
2024-03-09,550838
2024-03-10,639054
2024-03-11,582272
2024-03-12,530891
2024-03-13,594472
2024-03-14,619412
2024-03-15,563628
2024-03-16,581482
2024-03-17,520639
2024-03-18,685012
2024-03-19,591192
2024-03-20,569941
2024-03-21,660207
2024-03-22,675842
2024-03-23,619068
2024-03-24,601643
2024-03-25,619726
2024-03-26,606654
2024-03-27,592211
2024-03-28,628583
2024-03-29,683998
2024-03-30,674819
2024-03-31,585220
2024-04-01,641199
2024-04-02,646640
2024-04-03,642239
2024-04-04,610976
2024-04-05,660297
2024-04-06,631766
2024-04-07,630693
2024-04-08,678199
2024-04-09,760299
2024-04-10,676419
2024-04-11,686906
2024-04-12,716655
2024-04-13,664613
2024-04-14,673689
2024-04-15,685602
2024-04-16,677889
2024-04-17,656057
2024-04-18,709833
2024-04-19,675616
2024-04-20,603419
2024-04-21,532117
2024-04-22,639066
2024-04-23,646968
2024-04-24,638941
2024-04-25,641672
2024-04-26,666164
2024-04-27,655123
2024-04-28,584112
2024-04-29,661090
2024-04-30,680688
2024-05-01,647258
2024-05-02,663999
2024-05-03,669206
2024-05-04,612555
2024-05-05,695960
2024-05-06,636123
2024-05-07,640570
2024-05-08,672646
2024-05-09,704643
2024-05-10,682329
2024-05-11,664210
2024-05-12,640623
2024-05-13,631392
2024-05-14,654226
2024-05-15,641455
2024-05-16,633386
2024-05-17,668755
2024-05-18,586808
2024-05-19,608745
2024-05-20,683095
2024-05-21,640390
2024-05-22,669582
2024-05-23,636297
2024-05-24,668600
2024-05-25,614293
2024-05-26,622855
2024-05-27,643771
2024-05-28,637793
2024-05-29,638982
2024-05-30,635269
2024-05-31,634973
2024-06-01,659161
2024-06-02,632931
2024-06-03,665315
2024-06-04,667857
2024-06-05,607973
2024-06-06,630031
2024-06-07,629276
2024-06-08,701224
2024-06-09,665816
2024-06-10,697917
2024-06-11,667510
2024-06-12,665061
2024-06-13,661341
2024-06-14,660562
2024-06-15,627507
2024-06-16,624718
2024-06-17,646128
2024-06-18,608483
2024-06-19,648121
2024-06-20,596202
2024-06-21,596451
2024-06-22,592748
2024-06-23,583075
2024-06-24,588179
2024-06-25,612200
2024-06-26,610796
2024-06-27,620686
2024-06-28,660956
2024-06-29,624004
2024-06-30,628303
2024-07-01,659500
2024-07-02,635623
2024-07-03,663438
2024-07-04,649999
2024-07-05,712893
2024-07-06,662623
2024-07-07,620300
2024-07-08,641931
2024-07-09,614279
2024-07-10,637515
2024-07-11,676963
2024-07-12,681986
2024-07-13,688132
2024-07-14,649441
2024-07-15,650326
2024-07-16,640688
2024-07-17,614832
2024-07-18,666915
2024-07-19,631402
2024-07-20,663307
2024-07-21,660937
2024-07-22,703952
2024-07-23,673626
2024-07-24,652181
2024-07-25,669842
2024-07-26,701818
2024-07-27,688477
2024-07-28,674015
2024-07-29,653518
2024-07-30,647507
2024-07-31,643454
2024-08-01,632817
2024-08-02,664310
2024-08-03,631335
2024-08-04,657196
2024-08-05,655389
2024-08-06,636135
2024-08-07,618125
2024-08-08,627178
2024-08-09,656136
2024-08-10,628063
2024-08-11,655982
2024-08-12,597489
2024-08-13,569324
2024-08-14,639602
2024-08-15,603513
2024-08-16,686348
2024-08-17,688179
2024-08-18,661525
2024-08-19,682078
2024-08-20,642146
2024-08-21,670299
2024-08-22,650433
2024-08-23,651000
2024-08-24,616434
2024-08-25,598558
2024-08-26,601884
2024-08-27,582369
2024-08-28,604487
2024-08-29,580652
2024-08-30,642379
2024-08-31,588173
2024-09-01,577469
2024-09-02,607015
2024-09-03,611422
2024-09-04,596812
2024-09-05,614427
2024-09-06,621218
2024-09-07,622151
2024-09-08,619111
2024-09-09,610490
2024-09-10,623151
2024-09-11,622757
2024-09-12,612366
2024-09-13,614187
2024-09-14,541796
2024-09-15,547551
2024-09-16,618861
2024-09-17,600296
2024-09-18,587749
2024-09-19,585427
2024-09-20,640579
2024-09-21,595723
2024-09-22,575191
2024-09-23,577795
2024-09-24,604919
2024-09-25,634978
2024-09-26,587866
2024-09-27,616137
2024-09-28,594403
2024-09-29,583885
2024-09-30,584020
2024-10-01,583278
2024-10-02,589181
2024-10-03,626827
2024-10-04,631557
2024-10-05,656703
2024-10-06,625588
2024-10-07,595403
2024-10-08,563634
2024-10-09,596917
2024-10-10,628567
2024-10-11,611008
2024-10-12,588498
2024-10-13,545061
2024-10-14,603926
2024-10-15,617503
2024-10-16,592781
2024-10-17,589649
2024-10-18,607413
2024-10-19,558461
2024-10-20,582060
2024-10-21,605170
2024-10-22,618032
2024-10-23,607119
2024-10-24,615379
2024-10-25,626540
2024-10-26,591603
2024-10-27,605526
2024-10-28,604237
2024-10-29,633886
2024-10-30,631647
2024-10-31,637619
2024-11-01,653275
2024-11-02,616928
2024-11-03,616280
2024-11-04,620394
2024-11-05,609706
2024-11-06,567368
2024-11-07,548369
2024-11-08,585301
2024-11-09,572825
2024-11-10,557640
2024-11-11,572868
2024-11-12,567203
2024-11-13,574050
2024-11-14,585984
2024-11-15,603894
2024-11-16,587564
2024-11-17,578820
2024-11-18,623647
2024-11-19,625578
2024-11-20,606098
2024-11-21,588895
2024-11-22,583030
2024-11-23,593698
2024-11-24,590727
2024-11-25,602146
2024-11-26,595368
2024-11-27,603161
2024-11-28,616673
2024-11-29,635543
2024-11-30,591505
2024-12-01,568140
2024-12-02,584869
2024-12-03,573552
2024-12-04,594110
2024-12-05,559469
2024-12-06,617673
2024-12-07,606766
2024-12-08,590760
2024-12-09,606960
2024-12-10,628813
2024-12-11,611530
2024-12-12,584158
2024-12-13,639129
2024-12-14,569844
2024-12-15,590867
2024-12-16,619774
2024-12-17,602409
2024-12-18,606494
2024-12-19,640680
2024-12-20,603426
2024-12-21,607893
2024-12-22,660176
2024-12-23,603470
2024-12-24,579591
2024-12-25,589465
2024-12-26,581863
2024-12-27,615935
2024-12-28,586067
2024-12-29,584188
2024-12-30,594481
2024-12-31,599590
2025-01-01,577601
2025-01-02,607459
2025-01-03,599189
2025-01-04,624713
2025-01-05,553875
2025-01-06,554925
2025-01-07,613778
2025-01-08,572455
2025-01-09,580086
2025-01-10,604824
2025-01-11,559510
2025-01-12,569883
2025-01-13,573230
2025-01-14,600721
2025-01-15,606532
2025-01-16,627314
2025-01-17,619714
2025-01-18,638155
2025-01-19,601514
2025-01-20,614661
2025-01-21,608951
2025-01-22,642895
2025-01-23,625073
2025-01-24,598257
2025-01-25,600468
2025-01-26,
2025-01-27,1098077
2025-01-28,
2025-01-29,
2025-01-30,
2025-01-31,
2025-02-01,
2025-02-02,
2025-02-03,
2025-02-04,
2025-02-05,
2025-02-06,
2025-02-07,
2025-02-08,
2025-02-09,
2025-02-10,
2025-02-11,
2025-02-12,
2025-02-13,
2025-02-14,
2025-02-15,
2025-02-17,
2025-02-18,
2025-02-19,
2025-02-20,
2025-02-21,
2025-02-22,
2025-02-23,
2025-02-24,
2025-02-25,
2025-02-26,
2025-02-27,
2025-02-28,
2025-03-01,
2025-03-02,
2025-05-21,
2025-05-22,
2025-05-23,
2025-05-24,
2025-05-25,
2025-05-26,
2025-05-27,
2025-05-28,
2025-05-29,
2025-05-30,
2025-05-31,
2025-06-01,
2025-06-02,
2025-06-03,
2025-06-05,
2025-06-06,
2025-06-07,
2025-06-08,
2025-06-09,
2025-06-10,
2025-06-11,
2025-06-12,
2025-06-13,
2025-06-14,
2025-06-15,
2025-06-16,
